t;x;y;z;a
1607838723946310;3.1513474;0.124426775;10.2317095;3
1607838726385997;3.0843484;-0.4235296;9.611969;3
1607838728825737;2.861816;-0.7322037;9.056833;3
1607838731265476;2.7182465;-0.5455636;9.078369;3
1607838733705216;2.751746;0.0;9.485149;3
1607838736144904;2.9216363;0.4881358;9.669396;3
1607838738584643;3.2566316;0.63888365;9.561719;3
1607838741024383;3.6083765;0.36131623;9.226724;3
1607838743464070;3.737589;-0.18664017;8.709874;3
1607838745903810;3.5676985;-0.47138608;8.472985;3
1607838748343549;3.3762727;-0.16749759;8.772088;3
1607838750783289;3.3140593;0.4953143;9.071191;3
1607838753222976;3.5964124;0.9379865;9.303294;3
1607838755662716;3.991228;0.65084773;9.406186;3
1607838758102456;3.9170506;-0.2321038;9.078369;3
1607838760542143;3.4217365;-0.8207382;8.681161;3
1607838762981883;3.1274192;-0.35174492;8.819944;3
1607838765421622;3.4456646;0.55034924;9.377472;3
1607838767861310;3.940979;0.65084773;9.920643;3
1607838770301049;3.8213377;-0.17228323;10.169497;3
1607838772740789;3.129812;-0.701097;9.84168;3
1607838775180476;2.914458;-0.19860429;9.382257;3
1607838777620216;3.507878;0.3278167;9.540184;3
1607838780059956;3.644269;-0.14356937;10.025927;3
1607838782499695;2.8474588;-0.52163535;10.188639;3
1607838784939383;2.5938199;0.32303107;10.080962;3
1607838787379122;3.4025939;0.96430755;10.066605;3
1607838789818862;3.4528432;0.062213387;9.851251;3
1607838792258601;2.5531418;-0.53359944;9.363115;3
1607838794698289;2.684747;0.2943172;9.133404;3
1607838797138029;3.5892339;0.47856453;9.3104725;3
1607838799577768;3.1250265;-0.22253251;9.379865;3
1607838802017456;2.4263222;0.47138608;9.190832;3
1607838804457195;3.2805598;1.5696917;9.68136;3
1607838806896935;3.4695928;1.4811572;11.432906;3
1607838809336622;2.349752;2.3521447;13.117454;3
1607838811776362;2.8091738;3.591627;12.449856;3
1607838814216101;2.7996025;1.847259;9.020942;3
1607838816655841;1.5002998;-0.22971097;6.606583;3
1607838819095529;1.2442678;-0.22971097;6.1064835;3
1607838821535268;2.184647;-0.62931234;7.389036;3
1607838823975008;0.9906286;-0.782453;7.628319;3
1607838826414695;1.4835501;1.105484;7.207182;3
1607838828854435;2.3545375;0.6125626;6.977471;3
1607838831294174;1.847259;-0.2105684;7.726424;3
1607838833733914;2.1894326;0.4235296;7.884351;3
1607838836173601;3.1872396;-1.0241281;8.606983;3
1607838838613341;2.2277179;-1.4835501;8.073383;3
1607838841053081;3.010171;-0.55034924;7.702496;3
1607838843492768;3.3786657;-1.7084754;9.159725;3
1607838845932508;2.292324;-0.9810573;9.678967;3
1607838848372247;3.3619158;-0.5982057;10.750952;3
1607838850811935;2.8115666;-1.6223338;11.700903;3
1607838853251674;1.9932213;-0.15314065;10.315458;3
1607838855691414;2.8833513;-0.65324056;11.373086;3
1607838858131154;1.9166509;-0.5240282;12.05504;3
1607838860570841;1.7946169;0.5694918;10.963913;3
1607838863010581;1.9405792;-0.38763726;12.454642;3
1607838865450320;1.308874;1.1102697;11.5621195;3
1607838867890008;1.308874;0.7178468;10.492527;3
1607838870329747;0.9906286;0.8470592;11.399407;3
1607838872769487;0.9619147;1.5625132;9.724431;3
1607838875209226;0.701097;0.17706887;10.174282;3
1607838877648914;0.6269195;1.6630118;9.119047;3
1607838880088654;0.47856453;0.526421;8.152347;3
1607838882528393;0.5910272;1.0049855;8.4682;3
1607838884968081;0.47377887;1.1557333;6.8889365;3
1607838887407820;0.68195444;0.7298109;8.650054;3
1607838889847560;1.0863415;2.2731814;7.759924;3
1607838892287299;0.81595254;0.9882358;8.116454;3
1607838894726987;1.6510476;2.1535404;8.30788;3
1607838897166726;1.3686945;0.5192425;7.3986077;3
1607838899606466;1.7611175;1.1533405;8.688339;3
1607838902046206;2.2755744;1.0624132;8.784052;3
1607838904485893;2.0482562;0.94755775;10.19821;3
1607838906925633;2.6775684;1.0049855;8.956335;3
1607838909365372;2.158326;-1.1892328;8.941978;3
1607838911805060;3.0173492;-0.27996024;8.685946;3
1607838914244799;2.4191437;-1.4955142;9.781859;3
1607838916684539;3.211168;0.55752766;10.794023;3
1607838919124226;2.684747;-0.69152576;10.707881;3
1607838921563966;2.993421;0.634098;10.939985;3
1607838924003706;2.8689942;-0.7537391;10.566705;3
1607838926443445;2.7182465;-0.17706887;11.050055;3
1607838928883133;2.5555346;-0.9212367;9.889536;3
1607838931322872;2.309074;-0.124426775;10.650454;3
1607838933762612;2.2947168;0.050249275;9.710074;3
1607838936202299;1.6295122;-0.148355;10.504492;3
1607838938642039;2.1104696;-0.011964113;9.671789;3
1607838941081779;1.038485;-0.7106683;9.387043;3
1607838943521518;1.8687944;0.05742774;8.420342;3
1607838945961206;0.8662018;-0.4881358;8.941978;3
1607838948400945;1.7012969;0.79920274;8.841479;3
1607838950840685;1.0217353;0.31106696;9.939785;3
1607838953280424;1.7994026;1.3686945;9.298509;3
1607838955720112;0.9499506;-0.22971097;9.229117;3
1607838958159851;1.9860427;0.7704889;8.707481;3
1607838960599591;1.0169497;-0.34217364;9.15494;3
1607838963039279;2.0937197;0.93559366;9.116654;3
1607838965479018;1.2131611;-0.4881358;9.375079;3
1607838967918758;2.4023938;0.58624154;9.01137;3
1607838970358445;1.5864414;-0.91884387;9.236296;3
1607838972798185;2.833102;0.2416751;9.047262;3
1607838975237924;2.210968;-0.94755775;9.650253;3
1607838977677664;3.4839497;0.3900301;9.530613;3
1607838980117351;2.6991038;-0.849452;9.958928;3
1607838982557091;4.017549;-0.040677983;9.690931;3
1607838984996831;3.1944182;-0.9020941;10.322637;3
1607838987436570;4.45065;0.13878371;10.212567;3
1607838989876258;3.2279177;-0.863809;9.944571;3
1607838992315997;4.2927237;-0.3684947;9.391829;3
1607838994755737;3.249453;-0.9499506;9.856036;3
1607838997195476;3.76391;-0.11724831;9.4636135;3
1607838999635164;2.8905299;-0.29910284;10.356136;3
1607839002074904;3.3092737;0.5383851;9.363115;3
1607839004514643;2.184647;-0.0071784677;9.695718;3
1607839006954331;2.7996025;1.0145568;9.399008;3
1607839009394070;1.7347964;-0.21774685;10.042677;3
1607839011833810;2.3258235;1.1772687;9.592826;3
1607839014273549;1.3926228;-0.47138608;9.217153;3
1607839016713237;1.7204394;0.76570326;8.492127;3
1607839019152976;1.3375878;-0.6556334;8.705089;3
1607839021592716;1.4380864;0.75613195;9.4636135;3
1607839024032404;1.6007984;0.2656033;9.241081;3
1607839026472143;1.3926228;0.74416786;10.097712;3
1607839028911883;1.8041883;0.6867401;8.437093;3
1607839031351622;1.4811572;-0.7393822;8.819944;3
1607839033791310;2.0434706;0.54317075;8.628518;3
1607839036231049;2.0291135;-0.51206404;9.580862;3
1607839038670789;2.199004;0.70348984;10.303494;3
1607839041110476;2.5435705;0.45224348;9.19801;3
1607839043550216;2.4909284;-0.33738798;9.958928;3
1607839045989956;2.6416762;0.485743;8.676374;3
