t;x;y;z;a
1606885740338494;0.80877405;-0.18185452;9.820144;3
1606885742778078;1.1581261;1.0839486;9.454042;3
1606885745217713;2.0745773;0.14356937;9.896714;3
1606885747657296;0.64845496;-0.10767702;9.559326;3
1606885750096932;1.3734802;1.0648061;9.372686;3
1606885752536515;1.8568304;-0.14117654;9.982856;3
1606885754976151;0.43788654;0.39960137;9.475577;3
1606885757415734;1.6558332;1.0504491;9.533006;3
1606885759855369;1.3351951;-0.34456646;9.990034;3
1606885762294953;0.46181476;0.8805587;9.226724;3
1606885764734588;1.8735801;0.38285163;9.755538;3
1606885767174171;0.62452674;-0.18424734;9.801002;3
1606885769613807;0.9212367;1.1389836;9.212367;3
1606885772053390;1.6342978;-0.31345975;10.145568;3
1606885774493026;0.3062813;0.6364908;9.456435;3
1606885776932609;1.6223338;0.5072784;9.669396;3
1606885779372244;0.9810573;-0.36370903;10.171889;3
1606885781811828;0.83030945;1.026521;9.1669035;3
1606885784251463;1.7635103;-0.52163535;10.296316;3
1606885786691046;0.59342;0.68195444;9.561719;3
1606885789130682;1.6486548;0.21535404;9.657433;3
1606885791570265;1.2131611;-0.15074782;10.289138;3
1606885794009901;1.1006985;0.91884387;9.056833;3
1606885796449484;1.7706888;-0.62452674;10.370493;3
1606885798889119;1.0480564;0.98584294;9.29133;3
1606885801328703;1.7491534;-0.3804588;9.726824;3
1606885803768338;1.4285151;0.5599205;9.973285;3
1606885806207921;1.4285151;0.35413775;9.047262;3
1606885808647557;1.7060826;0.021535404;10.246066;3
1606885811087140;1.375873;0.96909314;8.872586;3
1606885813526776;1.5601203;-0.2847459;9.899107;3
1606885815966359;1.5577276;1.2873386;9.1669035;3
1606885818405994;1.2801601;-0.2440679;9.341579;3
1606885820845578;1.6151553;1.2562319;9.549755;3
1606885823285161;1.0839486;0.014356935;8.989835;3
1606885825724796;1.3830515;0.93559366;9.738789;3
1606885828164380;1.1150553;0.33738798;8.927621;3
1606885830604015;1.0145568;0.5407779;9.789038;3
1606885833043599;1.2059826;0.6628119;9.152547;3
1606885835483234;0.6843473;0.16031912;9.868001;3
1606885837922817;1.2490535;0.90448695;9.470792;3
1606885840362453;0.5910272;-0.1363909;10.013963;3
1606885842802036;1.2203395;1.052842;9.671789;3
1606885845241671;0.6987042;-0.37567315;10.155139;3
1606885847681255;1.2921243;1.0863415;9.887143;3
1606885850120890;0.9284152;-0.53359944;10.24846;3
1606885852560474;1.4907285;1.0839486;10.12164;3
1606885855000109;1.0887343;-0.57906306;10.212567;3
1606885857439692;1.6965113;1.038485;10.234102;3
1606885859879328;1.2969099;-0.6029913;10.107283;3
1606885862318911;1.8424734;1.0097711;10.164711;3
1606885864758546;1.4548361;-0.567099;9.925428;3
1606885867198130;1.9286151;1.0001999;9.997213;3
1606885869637765;1.524228;-0.4953143;9.686146;3
1606885872077349;1.9453648;1.0815558;9.796216;3
1606885874516984;1.4787644;-0.44745782;9.401401;3
1606885876956567;1.8711873;1.1030912;9.561719;3
1606885879396203;1.2849457;-0.38524446;9.1669035;3
1606885881835786;1.7300107;1.1892328;9.38465;3
1606885884275421;1.052842;-0.31106696;9.0233345;3
1606885886715005;1.538585;1.2777673;9.265009;3
1606885889154640;0.8135597;-0.27996024;8.975478;3
1606885891594224;1.4069797;1.3351951;9.224331;3
1606885894033859;0.65084773;-0.2847459;9.06162;3
1606885896473442;1.3375878;1.3854443;9.286545;3
1606885898913078;0.5455636;-0.27756742;9.229117;3
1606885901352661;1.3686945;1.3399807;9.427721;3
1606885903792296;0.59342;-0.30149564;9.501899;3
1606885906231880;1.4261223;1.2873386;9.590433;3
1606885908671515;0.77766734;-0.36131623;9.741181;3
1606885911111099;1.5170496;1.2299109;9.77468;3
1606885913550734;1.0336994;-0.4426722;9.932607;3
1606885915990317;1.6223338;1.1557333;9.994821;3
1606885918429953;1.2969099;-0.4761717;10.021141;3
1606885920869536;1.6247265;0.9954142;10.212567;3
1606885923309171;1.5481563;-0.29671;9.973285;3
1606885925748755;1.5337993;0.71306115;10.406385;3
1606885928188390;1.6893328;0.13399807;9.829716;3
1606885930627974;1.402194;0.18185452;10.482956;3
1606885933067609;1.6606189;0.74177504;9.638289;3
1606885935507192;1.3639089;-0.30867413;10.3441725;3
1606885937946828;1.3639089;1.1557333;9.547362;3
1606885940386411;1.4117653;-0.3493521;9.911072;3
1606885942826046;1.0217353;0.9212367;9.676575;3
1606885945265630;1.3830515;0.33738798;9.274581;3
1606885947705265;0.9595219;0.13878371;9.88475;3
1606885950144849;0.9236295;1.1653047;8.836694;3
1606885952584484;1.2610176;-0.29671;9.753145;3
1606885955024067;0.46181476;1.0504491;9.020942;3
1606885957463703;1.3064811;0.4426722;9.099904;3
1606885959903286;0.78723866;-0.016749758;9.686146;3
1606885962342921;0.56470615;1.2179468;8.597412;3
1606885964782505;1.7587247;-0.21774685;9.868001;3
1606885967222140;0.21535404;0.49292147;9.111869;3
1606885969661724;1.4763715;0.8781659;9.178867;3
1606885972101359;1.5074782;-0.4235296;10.037891;3
1606885974540942;0.26081768;0.782453;8.953942;3
1606885976980578;2.2372892;0.5096712;9.968499;3
1606885979420161;0.94277215;-0.40438703;9.882358;3
1606885981859796;0.74416786;0.83030945;9.437292;3
1606885984299380;2.2971098;0.3278167;10.305887;3
1606885986739015;0.70588267;-0.39481574;9.882358;3
1606885989178599;1.0313065;0.7920243;9.815358;3
1606885991618234;2.062613;0.37567315;10.21496;3
