timestamp;vin;isOnline;signature;acc_x;acc_y;acc_z;pos_long;pos_lat;process;01 10_fluxo de massa de ar (MAF)_g/s;01 0D_velocidade_Km/h;01 0B_pressao absoluta do coletor de admissao_kPa;01 0F_temperatura do ar de entrada_Â°C;01 0F_Temperatura do liquido de arrefecimento_Â°C;01 2F_nivel de combustivel_%;01 0C_rotacao_RPM
17:13:14.419;1GBJC34R9XF017297;false;304502201443a470c3f6c50d4fc74c3e4b254ba5c2e761fd740eec6917ce4ee7c7d161bc022100c88d1df9b63fa0a6c5ff4c291e94519b674a2e1e539e70ff1b7502c1259f190a;;;;-44.4595;-23.0054;false;544;1;27;35;97;91.19377693418332;1461.257472167821
17:13:15.393;1GBJC34R9XF017297;false;304402202fceb5c2286dda6c284704f58e519a59be02fc3b062898cfa75fe41d55030006022005407e6ab4b93f1b8d7f2e3d56969eabcb8bc1d36708c37879e05db43748d9d4;;;;-44.4604;-23.0058;false;743;28;86;33;103;58.7345442376441;5033.371157125794
17:13:16.390;1GBJC34R9XF017297;false;3045022067b65217fa50ad8945c746e5c153ef29a2423964803359d1043a5362ca53e17a022100b8c927aca318f46f302b7bd31388e4581476d543e3d219a7b2abd37f11de7c1e;;;;-44.4604;-23.0058;false;648;81;90;64;91;71.40385822105681;5871.794796515159
17:13:17.404;1GBJC34R9XF017297;false;3046022100a4b032ae365b09e4d0271e45bd676bc41e4b139a0a8f461841571f7b55aee01a022100972daf7c52cb488caec4c55d9d2c12a92b0c6ebd4ee64f2c29612727140a05f0;;;;-44.4604;-23.0058;false;869;51;36;40;95;97.5043698885843;3002.991936636235
17:13:18.396;1GBJC34R9XF017297;false;3046022100f31694d50400217eafa4338a8599d971b62b92933cc5548e157d1310acdf2419022100839fef276e0195405ab9ba78853cc32ff57942b2cf44223e3e17d7a49d0bb779;;;;-44.4606;-23.0058;false;479;55;53;51;98;19.959618929391684;2936.7420730047916
17:13:19.389;1GBJC34R9XF017297;false;304402203bfbe719eea0fac5ab5ba016411d1ca9f02b038e302992b42259b425660e1a4102203faaca37c1bcfca2b2ad2bad9d15d958113ad7632175677592494ef95290bb13;;;;-44.4606;-23.0058;false;618;105;75;43;95;18.0696357391762;1607.1022675757813
17:13:20.387;1GBJC34R9XF017297;false;3045022100f90fbd2bf70f5e6fb3ef95e201144cf370cbcb2694d8c445fafc319ecb9b35ff022069da92a1a66deb2d2a80bb3d6285fca5240fe271fe8c3a87a070bc26b90dd83d;;;;-44.4606;-23.0058;false;534;60;70;59;90;33.535058402810414;2900.77460171142
17:13:21.389;1GBJC34R9XF017297;false;3046022100bd3ad5b8604144cb4dd2506bf330628e5c76bca27e648837ebb14ac8c259d44f022100dbc754f6e45fd4b596c8a4d91f032846693d02eb62e45e42c310f69c7b9f3552;;;;-44.4607;-23.0059;false;912;28;96;46;93;33.63864520967701;5896.508095779763
17:13:22.390;1GBJC34R9XF017297;false;304402204592f1cbdecf415c0ac1cabafd88dc5ad33d331df89a7924eeb394b048964f6a02206cf10bb01fa3e4268551da2ac3fe42bb31f69d9df1d0832e7b1dc0ad6abbc469;;;;-44.4607;-23.0059;false;791;69;78;49;97;49.82472765727424;7098.419095256707
17:13:23.400;1GBJC34R9XF017297;false;304402200a6053144ed6e23ec5e64528fd22139162b3ce250b4c3ead3566f27f591bc5b7022064e86f47ff42ed48eac5291058655eb6e5d687fe29fbbec5103887e7662b58eb;;;;-44.4607;-23.0059;false;465;53;76;31;101;37.10330416530431;9372.877059539122
17:13:24.388;1GBJC34R9XF017297;false;3045022100e0fa6a75817500194fd32888e1c0f5741de59fe518fae8cac95a3f50700dd08802201fc6412e044a21b6ab05cb246253de316d2c37311bd38d83ac480db33c633af2;;;;-44.4607;-23.0059;false;963;10;65;35;100;25.830893578337704;3026.4860177077267
17:13:25.399;1GBJC34R9XF017297;false;3046022100b83f9bb544850147686f89f8237f7d74ca2f8839507c2c546aa3f3201283efb3022100f9bb68e14b44ab757f6d3dd78c4863ff933a8233f44387f2d530e93f2efef5e6;;;;-44.4607;-23.0059;false;529;107;29;35;90;64.50384200426755;2522.2560362119316
17:13:26.388;1GBJC34R9XF017297;false;3046022100caae73c95a301cfc18e2b3c507bf2eac8b57701a4182c5c851a7cd7fe031605f022100f5429da926f09b193e140d6f9758396ea976b8e52f42657768c69dc355d3517b;;;;-44.4607;-23.0059;false;608;39;52;57;97;57.371015414289516;4923.161353254606
17:13:27.387;1GBJC34R9XF017297;false;304502210081b9e5de96adcf040c193e97c798e6a3db37d36732435a94173ebf01ba486c8b022018d979703c13d23b64c5ee61f3848683cb87f6353c2bcfad3dc95e012505a269;;;;-44.4608;-23.006;false;945;52;63;51;98;59.65785864055391;1011.7886876121797
17:13:28.388;1GBJC34R9XF017297;false;304502204fc7b2cb7dd300a09752928092823e44f454c4d8d3c18a00fb7a014a2cafc7b302210083a7bf4175123811cf75eb1c461be870613770e7c043a3f2d5bc6ed962bdd85f;;;;-44.4608;-23.006;false;715;75;46;59;95;91.79259164737847;2214.5157990903645
17:13:29.388;1GBJC34R9XF017297;false;3046022100b39af000d5bbb743e5326fc7b7d81115c5e1f5ce89ec6cf14b40350db5b9c8d8022100fb91e49783d4f9c63dc3f8300e9ce734177cfc1dedca005ba6d7e8659afbd78f;;;;-44.4608;-23.006;false;660;37;63;62;97;91.15758213713428;9998.157074987244
17:13:30.388;1GBJC34R9XF017297;false;3045022100b18b83acd248375c5a317f2ec7aea461d730f017f742886dec82ec476689142802203a7b0c9aa870d7e4ee49140a9733061fdbf3d594aec5521c243b11f06c687a3d;;;;-44.4608;-23.006;false;846;66;65;34;93;67.46813857029201;6434.470476536037
17:13:31.395;1GBJC34R9XF017297;false;3044022040ae00d1b425cca98d24392ee83f62087dbc34319f230f42b57832e8b7e7fdba022052d35ad8f40052a0216d5ebb4b5dc8a6f4459a40e9882d0926984846f62dd887;;;;-44.4608;-23.006;false;977;88;54;58;95;53.72390544181398;9011.002146116156
17:13:32.387;1GBJC34R9XF017297;false;3044022009cf4ff163790ababe09c23c731bd1417af3a539cc76028713c2476678f6589a02205822cb03428cd662f16d7abfabaf94ceb5ffa1d8441312f2886a7bf95f6bbdc7;;;;-44.4608;-23.006;false;431;72;16;33;95;40.103944327345744;1456.0914328301947
17:13:33.387;1GBJC34R9XF017297;false;3046022100dead7fb37f5b4484c13af629a0db3c93565a472ef2bd37678c0e3d284c4106dd022100c2a6decf5fe61c5a86b4d82a50a829d192ba0bfa28d559e8f274a8e76a9edb1d;;;;-44.4609;-23.006;false;839;62;37;44;102;54.89935348839673;5210.726358792248
17:13:34.389;1GBJC34R9XF017297;false;3044022029248d666731c22bf056d22277f741e129cfd26955af0f37d88a26e68a03fa7a02201c8f800b1b59cc8d43e75b4b536457f621c75d87ea87472b8c05d01fc068f86d;;;;-44.4609;-23.006;false;667;110;46;68;99;57.38987469257718;5920.91237847263
17:13:35.390;1GBJC34R9XF017297;false;3046022100bda9041d6d7a2f83e3ae25284f7c507641d4a6343db1c33eebf16f39dce7484d022100b5c8b33be4524e38d9b48862ac4350a393355449ab00e6b9f2aca541723a3877;;;;-44.4609;-23.006;false;576;90;77;37;90;35.886898405099004;7575.315911445277
17:13:36.387;1GBJC34R9XF017297;false;30450221008f9a066adf97785cb161deed7eaee427c014583c884851c2b98b4eee42f6222e022044c9eaa1914f99154346f9156555bbc5e2ddee201df5883deff44e442ae9ae88;;;;-44.4611;-23.0061;false;814;76;43;33;94;83.05643156401982;9609.064163523824
