t;x;y;z;a
1607131231897254;3.1920254;1.4691931;8.441878;3
1607131234336838;3.952943;1.5768701;8.662018;3
1607131236776421;4.6037908;1.6438692;8.755338;3
1607131239215952;5.15414;1.5864414;8.819944;3
1607131241655536;5.4221363;1.3734802;8.877372;3
1607131244095119;5.5776696;1.18684;9.042477;3
1607131246534702;5.460421;1.1006985;9.193225;3
1607131248974286;5.197211;1.2323036;9.387043;3
1607131251413869;4.85743;1.4715859;9.7196455;3
1607131253853452;4.4147577;1.6271194;10.028319;3
1607131256293036;3.9720855;1.6223338;10.241281;3
1607131258732567;3.5389848;1.5337993;10.279566;3
1607131261172150;3.0963125;1.4859428;10.124033;3
1607131263611733;2.7062824;1.5481563;10.033105;3
1607131266051317;2.3234308;1.7395821;10.083355;3
1607131268490900;1.9142581;1.9573289;10.179068;3
1607131270930483;1.5601203;2.1798615;10.191031;3
1607131273370067;1.2418749;2.3186452;10.030712;3
1607131275809598;0.8350951;2.2755744;9.5353985;3
1607131278249181;0.66999036;2.2277179;9.135797;3
1607131280688765;0.58624154;2.2372892;8.7984085;3
1607131283128348;0.69152576;2.2899313;8.58784;3
1607131285567931;0.96430755;2.4598217;8.520842;3
1607131288007515;1.3998013;2.5531418;8.484949;3
1607131290447098;1.9238294;2.481357;8.46102;3
1607131292886681;2.4861426;2.2325034;8.437093;3
1607131295326213;2.9503503;1.902294;8.367701;3
1607131297765796;3.3667014;1.7156538;8.4347;3
1607131300205379;3.739982;1.8281165;8.719446;3
1607131302644963;4.091727;2.0841484;9.159725;3
1607131305084546;4.486542;2.28036;9.611969;3
1607131307524129;4.8454657;2.158326;9.810573;3
1607131309963713;4.974678;1.713261;9.74836;3
1607131312403244;4.6779685;1.1150553;9.580862;3
1607131314842827;4.005585;0.9236295;9.578469;3
1607131317282411;3.266203;1.3519448;9.8727865;3
1607131319721994;2.7996025;2.1224337;10.348958;3
1607131322161577;2.7110682;2.5028925;10.66481;3
1607131324601161;2.5459633;2.050649;10.516456;3
1607131327040744;1.9477576;1.227518;9.994821;3
1607131329480327;1.1102697;0.9882358;9.473185;3
1607131331919858;0.7106683;1.6845472;9.327223;3
1607131334359442;0.9810573;2.4358935;9.650253;3
