t;x;y;z;a
1608349074923249;1.3423735;2.4885356;10.135997;3
1608349077362937;1.7228323;1.5361922;9.686146;3
1608349079802624;1.8400806;1.0600204;9.470792;3
1608349082242312;1.753939;1.442872;9.676575;3
1608349084682052;1.6366907;2.376073;10.107283;3
1608349087121739;1.6534405;3.0843484;10.313066;3
1608349089561427;1.8568304;3.0723844;10.0163555;3
1608349092001166;2.158326;2.4263222;9.35833;3
1608349094440854;2.3952155;1.6510476;8.669196;3
1608349096880541;2.4598217;1.3280165;8.415557;3
1608349099320229;2.3042881;1.5290136;8.652447;3
1608349101759968;1.9501505;2.1463618;9.128618;3
1608349104199656;1.5816557;2.6991038;9.461221;3
1608349106639343;1.3710874;2.8426733;9.521041;3
1608349109079031;1.3663018;2.4143581;9.274581;3
1608349111518718;1.3447664;1.6414764;9.068798;3
1608349113958458;0.9499506;1.0767702;9.08794;3
1608349116398145;0.2009971;1.2753744;9.501899;3
1608349118837833;-0.4833502;2.2444677;10.167104;3
1608349121277572;-0.5814559;3.2829528;10.810773;3
1608349123717260;-0.12921242;3.397808;10.987842;3
1608349126156947;0.2536392;2.3018954;10.588241;3
1608349128596635;0.17228323;1.1988041;9.990034;3
1608349131036374;0.20338993;1.3447664;9.77468;3
1608349133476062;1.0145568;2.5268207;10.064212;3
1608349135915749;2.1750758;3.1058838;10.4016;3
1608349138355437;2.6416762;2.6105695;10.258031;3
1608349140795177;2.4263222;2.2037897;9.616755;3
1608349143234864;2.7086751;2.7349963;8.9826565;3
1608349145674552;3.5700915;2.9647074;8.733803;3
1608349148114239;3.5102708;2.184647;8.585447;3
1608349150553979;2.4646072;2.1487548;8.303095;3
1608349152993666;2.2061825;3.4887354;8.200203;3
1608349155433354;2.5698915;3.9218364;8.410771;3
1608349157873041;1.7324036;3.0029924;8.415557;3
1608349160312729;0.4977071;3.0843484;8.149954;3
1608349162752468;0.78723866;3.9170506;8.19781;3
1608349165192156;0.9619147;3.2207394;8.477771;3
1608349167631843;-0.25124636;2.536392;8.386844;3
1608349170071583;-0.2847459;3.4456646;8.465807;3
1608349172511270;0.6580262;3.3667014;9.0951185;3
1608349174950958;-0.086141616;2.2875385;9.265009;3
1608349177390645;-0.3900301;3.0580273;9.104691;3
1608349179830333;0.9020941;3.2805598;9.600004;3
1608349182270072;0.55752766;1.9573289;9.856036;3
