t;x;y;z;a
1608089883455852;1.2658032;1.3519448;9.487542;3
1608089885895644;0.99302137;2.065006;10.009177;3
1608089888335384;0.8757731;2.6608188;10.269995;3
1608089890775175;1.0432707;2.7038896;10.100104;3
1608089893214915;1.3686945;2.0985055;9.561719;3
1608089895654706;1.5768701;1.2969099;9.018549;3
1608089898094446;1.4452649;0.9451649;8.846265;3
1608089900534186;1.0432707;1.4500505;9.145369;3
1608089902973977;0.86141616;2.5579274;9.729217;3
1608089905413717;1.1485549;3.3164523;10.10489;3
1608089907853509;1.6079768;2.9048867;9.896714;3
1608089910293248;1.5816557;1.6247265;9.169296;3
1608089912733040;1.0145568;0.8566305;8.523234;3
1608089915172779;0.6939186;1.5481563;8.578269;3
1608089917612519;1.146162;2.8187451;9.30808;3
1608089920052311;1.6773686;3.0532417;10.018748;3
1608089922492050;1.3734802;2.2037897;9.961321;3
1608089924931842;0.7393822;1.7898313;9.3200445;3
1608089927371581;0.9954142;2.2085752;8.879765;3
1608089929811373;1.7300107;2.1463618;9.075976;3
1608089932251113;1.4859428;1.4404793;9.439685;3
1608089934690904;0.7298109;1.753939;9.5760765;3
1608089937130644;1.0959128;2.9336007;9.738789;3
1608089939570384;1.8041883;2.7014968;9.908679;3
1608089942010175;1.1174482;1.4691931;9.631111;3
1608089944449915;0.4833502;1.6606189;9.157332;3
1608089946889706;1.3567305;2.3377876;9.332008;3
1608089949329446;1.5361922;1.6677973;9.734002;3
1608089951769186;0.46181476;1.6271194;9.595219;3
1608089954208977;0.82313097;2.821138;9.547362;3
1608089956648717;1.6630118;2.3162522;9.942178;3
1608089959088509;0.6149554;1.3016955;9.671789;3
1608089961528248;0.45702913;2.1966112;9.097511;3
1608089963968040;1.5768701;2.1822543;9.466006;3
1608089966407779;0.715454;1.3615161;9.635897;3
1608089968847571;0.27756742;2.507678;9.238688;3
1608089971287311;1.564906;2.629712;9.702896;3
1608089973727050;0.72741807;1.5146568;9.820144;3
1608089976166842;0.30388847;2.498107;9.0233345;3
1608089978606581;1.6462619;2.2851455;9.41815;3
1608089981046373;0.64845496;1.4117653;9.571291;3
1608089983486113;0.5623133;2.7565317;8.95155;3
1608089985925904;1.7635103;2.2372892;9.726824;3
